,importance
NDRG1,0.04143649499008488
IGFBP3,0.032785778142573545
AKR1C2,0.030923695335653974
BCYRN1,0.025997655049482433
HSP90AA1,0.024612280776877816
FGF23,0.024595908334670777
HSPD1,0.023987279296009932
AKR1C1,0.023630988726339827
WDR43,0.022452022238335492
LDHA,0.019993846179001885
GPM6A,0.01705369569537777
EIF3J,0.01688250846195502
NCL,0.01633065031055803
HSP90AB1,0.01471597044979537
RPL41,0.014554110539402
P4HA1,0.014159629079107693
MALAT1,0.013016061310095495
TMSB10,0.012066186650465776
RPS28,0.011267543740635882
S100A10,0.010737333129514462
BNIP3,0.010421655193363251
ENO1,0.009937081116661728
NPM1P40,0.009864940505530962
CALM2,0.009231096761340625
RPS27,0.008408868492107334
PGK1,0.008311679534185972
RPS5,0.00806206852099604
FTL,0.007866864710131866
HSP90B1,0.007726486020305428
ZC3H15,0.007094223609682053
KRT19,0.006962307056537142
HNRNPU,0.006562168930542484
YWHAZ,0.006144541416220946
B4GALT1,0.006117399320494396
S100A11,0.005971146081159589
PSMA7,0.005324716803857856
NCALD,0.005298027399853902
RPL35,0.005286307252655589
RPLP1,0.00523254087023268
SERF2,0.005113637537719023
BTBD9,0.004822280443445601
CACNA1A,0.004803035772017471
RPL8,0.004582770856902537
S100A6,0.0043932635319933015
CAST,0.004278487455329416
HSPA5,0.004231045575150227
NEAT1,0.004209071267734712
EEF2,0.0041197172962625685
RPLP2,0.004088822729375499
H2AC12,0.004072165566230067
RPL39,0.00403023828805891
RPL12,0.003985317500955291
CALR,0.003874481286165472
H1-3,0.003855767644884632
RPS2,0.003842306328580877
EGLN3,0.0037549774422158326
RPS8,0.003733928056511478
RPS19,0.0036842615419728935
ZNF302,0.0036228643646519605
RPS15,0.0035698273030656687
H1-5,0.0035647095319530876
CBX3,0.0035520029145222564
MT-TQ,0.0035074186576946327
YBX1,0.0033987754146357473
MARCKS,0.0033924567530233336
GAPDH,0.0033809435019118766
RPL36,0.003335382384593115
HNRNPA2B1,0.0032850415693260098
RPL28,0.003280101434277708
PRRG3,0.003247622359522027
RPL10,0.0032458329204758767
MT2A,0.0032441857825902453
EZR,0.0032367258555259736
RPL13,0.003198662164007522
RPL18,0.0031195044848009402
GSTP1,0.0031073593372923525
RPS3,0.003083450337415605
ATP5F1E,0.002970960216079134
DEK,0.002967321848729612
POLR2L,0.0029636435292046655
CAV1,0.0028808765892585258
AHNAK2,0.0028434200599134272
HNRNPM,0.0028401058466102046
RPL21,0.0027661024157305033
RAC1,0.002758704502350151
PKM,0.002733431412701001
TPI1,0.0026751521572944232
CENPF,0.002673915641132116
RPL35A,0.0026668886435768434
DSP,0.002645148102168036
MKI67,0.0026436206306624773
HEPACAM,0.002615949410241033
DNMT1,0.002615034294005515
PTMS,0.0025546419798163035
RPS14,0.0024703573349042053
TMSB4X,0.002407796716245227
BNIP3L,0.0023982711312545914
STMN1,0.0023314725160763854
ATP5MG,0.002308184876160356
MT-TV,0.0022816435245675963
ELOB,0.002244723517352981
RPL37,0.002236586717384102
TPX2,0.002225676083161815
NFE2L2,0.0022166445392604785
EEF1A1,0.002210990571337559
RPL37A,0.0022057032308972933
CNNM2,0.002201339518601791
H1-1,0.0021984100296161572
UQCRQ,0.0021748909574472674
BAP1,0.002162408670465335
GPI,0.0021514199851906278
