,mi_score
NDRG1,0.07760438593597874
AKR1C2,0.05632270878779577
FGF23,0.05603858902228254
HSP90AA1,0.05189225274230691
GPM6A,0.048921107544336984
IGFBP3,0.04749591145051846
AKR1C1,0.04741120632226159
BCYRN1,0.04695481513987154
WDR43,0.045026517659055854
HSPD1,0.04501518519296677
NCL,0.041970545940784865
LDHA,0.04017734964989628
HSP90AB1,0.03718437419594256
TMSB10,0.03461466326321938
EIF3J,0.03162138829741834
RPL41,0.030533405403496472
P4HA1,0.02811864174277523
B4GALT1,0.027159687245604358
ENO1,0.027116111651749764
CACNA1A,0.0248887953679231
MALAT1,0.02458288883054549
S100A10,0.024298213376430233
NPM1P40,0.024006344264749124
NCALD,0.023922970584972836
BNIP3,0.023137026960682094
CALM2,0.022948277446224186
BTBD9,0.022863801070009515
KRT19,0.022773706921858317
HSP90B1,0.021163638611016777
PGK1,0.02012568707397766
PSMA7,0.019011084302236414
RPS3,0.018212197175000666
MT-TQ,0.01621592561411811
PRRG3,0.01618896438669437
S100A11,0.01605936904465599
ZNF302,0.015694613375353272
KCNJ2,0.01526258176362183
DNMT1,0.015248000909861004
KAT7,0.015241483233994657
RPS28,0.01488483562906806
EGLN3,0.014551531372640536
HNRNPU,0.014115830369982207
PDCD4,0.014043956147810288
YWHAZ,0.013636420517402437
AHNAK2,0.013459886258295306
RPS15,0.013108870996390909
RPL12,0.013102713105308084
ZC3H15,0.01299536143638802
RPL39,0.012921257359084226
SERF2,0.012721195854503042
GPI,0.012683454348768164
PTMS,0.01258136459591852
FTL,0.012403159673051833
VRK3,0.012264765067804273
FOXP1,0.012177076625715655
NEDD4L,0.011820210641779072
RPS6KA6,0.011738446576799788
TAGLN2,0.011480685085758946
TOP2A,0.011360725648728698
DSP,0.011343954206038953
GDPGP1,0.011331577620662614
FBRSL1,0.01130641183702763
RPL35,0.011300807611236863
RPS14,0.011246569404121942
TMSB4X,0.011204265256933743
C4orf3,0.011193480766428676
RPS29,0.011192613208375723
FOSL1,0.011140597859302437
KRT14,0.011001999700547271
MT1X,0.010903430315964746
PLOD2,0.010806797343822172
RPSA,0.010584515391250715
RPS27,0.010507882709577254
ANP32B,0.010470179302099814
RPL8,0.010466089858893746
FEM1A,0.010446222040041642
BRCC3,0.010394018255150517
UBC,0.010319740709518355
SCAF8,0.010291244129364774
ZBTB45,0.010245195999540435
RPL18,0.010230789121965289
FAM83A,0.01021862670356799
KCNJ3,0.010101590612861866
RPL10,0.010049948547137477
MARCKS,0.009974985783059998
AMFR,0.009756805746679476
RPL21,0.009744578521966751
PAQR8,0.009596542059230329
MYL12B,0.009552014546569954
MYO1C,0.009518584779609318
ATOX1,0.009507541656639695
H2AC12,0.009465429355279387
PGM1,0.009427231094835342
DDX54,0.009359949752953955
RPS5,0.009335935269392026
POLDIP2,0.009320152836374662
CAVIN3,0.009295852244971536
BNIP3L,0.009206118371510863
RRS1,0.009189741291973919
EPPK1,0.009150628977634634
SIVA1,0.009109431469148
S100A6,0.009092887849866838
RAP2B,0.009006041416811605
MT-CYB,0.009005211841758287
MT-TV,0.008910621479665704
SNHG9,0.008814897552568368
GSTP1,0.008810653682512326
POLR2F,0.008809628774851141
RRM1,0.0087675689678397
ARHGAP23,0.00866503270959651
MMP2,0.008663453922221231
PPIG,0.008661595459541926
EZR,0.008624823057021835
POLR2L,0.008478635193604145
RPS8,0.008456704983437424
CETN3,0.008330078699980481
RPL36,0.008300800354315463
RRAS,0.008270275537938243
LMF2,0.008266045848373205
DDIT4,0.008265124817322445
SLC6A8,0.008239038408684562
OIP5-AS1,0.008226041986155952
CFAP251,0.008194742413459188
GALM,0.008087807173905892
ZNF511,0.008006109726133248
NDUFB2,0.00792559182237862
CNNM2,0.007884035668666467
MZT2B,0.007793818380825934
MLXIP,0.007786906800345994
DCAF7,0.007780694640076691
MCM4,0.007760889730865417
PPL,0.007740900354265667
NRAV,0.007695745790243125
LINC01503,0.007671850351486542
MXRA5,0.00766131700765782
METTL26,0.007599606806296011
TSR1,0.007594716789467215
GOLGA3,0.007507321420075153
SNHG6,0.007507310998248418
CNTRL,0.007504577201545404
AK4,0.007488570584417875
HS6ST1,0.007414731178214895
MAFF,0.007395567568253103
CAMK2N1,0.007391897856184881
NRBP1,0.007377881298158195
FOSL2,0.0073570124243711454
CNTROB,0.007327121520949165
ZNF318,0.00732188653670196
H2AC16,0.007279939286046755
MLLT3,0.007178912544566263
TMEM238,0.007159859341423491
NMD3,0.0071100514141464455
TOMM5,0.007020211447485547
NFE2L2,0.0069609381593240816
MTUS1,0.006924868640178383
NSMF,0.006923460384545166
CMIP,0.0069182609100215675
DGKD,0.006881393006758829
EEF2,0.006815437844001071
STMN1,0.00681499503873062
RPLP2,0.0067592151581366
PKM,0.00675800680989691
CBX4,0.006752890822497859
RPL12P38,0.0067375908456597244
NEUROD1,0.0067147151719872955
RPS19,0.0067050707274634025
POLR3A,0.0066864537149291525
STK11,0.006681521669868351
MCRIP1,0.006679862594249242
ZNF8-DT,0.006675693122652149
MKI67,0.006674898937109486
COMMD6,0.006670225131194307
STT3A,0.006664804464243668
HSPB1,0.0066143615098916975
ING2,0.006577664202741529
NEAT1,0.006553154460456234
RPLP0P2,0.006526077558177912
RPL35A,0.0064259507169501795
FAM189B,0.006425832337869863
LSM14A,0.006319303082879424
CLIC1,0.006314595581732085
RPL37A,0.006245607951523624
DTYMK,0.006245152400288445
YBX1,0.00622967232058369
KMT2D,0.006220565764673447
ITSN2,0.006201608128820979
CNOT6L,0.00619287498658827
TMEM141,0.006191875462698615
CENPF,0.006190741747215567
RPS2,0.00618952588396815
PAQR7,0.006178148978012388
SLC25A48,0.006173739348886764
H2BC4,0.006171722480738051
ARHGEF7,0.006167393794599629
INSR,0.006164581442116512
SURF1,0.00612833351582176
ANGPTL4,0.006125164825215634
PFKP,0.006122547555751812
SNRNP70,0.006120631749872096
EFNA5,0.0061069247493525936
ASNSD1,0.006080199113567053
BNC1,0.006060986600603169
APPL1,0.00605511781474477
CSRP1,0.006040960649387417
DAZAP2,0.006028533091153365
GRK2,0.005986090869132932
BRMS1,0.005956437893912536
RPL13,0.005946699506086617
CALR,0.005942937191049769
ZNRF1,0.005938449467971285
PDLIM1,0.005936761907402444
TIMP3,0.005928837682508181
GAPDH,0.0059257626546156406
MT-ND4L,0.005908877691959136
RPLP1,0.005901702667561182
C19orf53,0.005887775145957175
LINC01304,0.005870516246312629
DGUOK,0.0058473393847544575
KDM3A,0.005843656844840783
HIVEP3,0.005821453462265591
PUSL1,0.005810335190807869
EEF1A1,0.005780236489203006
KCTD1,0.005773294672315243
TCEAL1,0.005761210219424884
DIO2,0.0057237333384680955
CIRBP,0.005719388118860413
MRFAP1,0.005705597863409961
PPP2R5D,0.005703589635666084
MARCHF6,0.005690642248098898
JUND,0.005679952637877017
SLC2A1,0.0056600109097249
ZNF688,0.005642035688533831
MLLT10,0.005636820492916694
ATP13A2,0.005632258223417175
ARFGEF3,0.005619562883917517
JMJD6,0.005603492531961463
FASTKD3,0.005599912834499898
AMOTL1,0.005598725442143904
PLCD3,0.005548491732431771
ANP32A,0.005538704195306776
TNFSF13B,0.005503226470780165
TPX2,0.005501960785749382
IL18,0.005482195888738328
PFKFB3,0.005428991588230181
ATP5ME,0.005422728572539226
ZNF462,0.0054135387956928405
EPB41L2,0.005393153545841578
H1-5,0.005371740637117872
DNMT3A,0.005356543781383616
GOLGA4,0.005347060336312159
PRMT2,0.005339653337727679
SEM1,0.005321492357797775
ATP1A1,0.005317731803070158
MORN2,0.00529129274061102
TPI1,0.005285181813175388
BRAT1,0.0052645360793803775
OAZ1,0.0052617590597612285
LINC02367,0.0052133296067682355
BTN3A2,0.005208987821618383
FGF12,0.005193361718227374
BAP1,0.005190428184120854
AAGAB,0.005149187548870282
TCF20,0.005139935682181074
ELF4,0.005134682649710953
GNPAT,0.005121186535297362
SYNJ2,0.00506800608992064
YTHDF1,0.005040319998982357
UBQLN4,0.005010210332632381
ZBED2,0.0049864466997107115
HNRNPA2B1,0.004983637896366577
ELOB,0.004964387910395995
TCEAL3,0.004955715626894008
MKNK1,0.004948049051850756
CRIP2,0.00488079499675198
MXI1,0.004835776603171027
POLE4,0.00482578883945628
IFI27L2,0.004825358937853297
LEMD3,0.004808787264259484
CHTOP,0.004791362757096129
