,importance
MT-RNR2,0.05867710661999586
TFF1,0.058076992704493964
GAPDH,0.04335784703185006
TMSB10,0.03626237860073799
LGALS1,0.03529568614777917
KRT19,0.033338919153664485
PGK1,0.032040550465810065
TPI1,0.026428468669973348
RPL13,0.023969445971289187
MT-RNR1,0.02382982242697747
RPS19,0.023008866086014403
RPS14,0.0204993687577962
PKM,0.019225383910004855
ENO1,0.016113225113629632
RPL34,0.014280222918122868
RPL35,0.014014653781809683
RPL12,0.013500670757971333
ROMO1,0.012117556117379061
BCYRN1,0.01209607115815534
RPL30,0.011887005827995147
MALAT1,0.011637037898782284
TMEM258,0.011444930588526612
RPS5,0.011096846965537302
RPL15,0.010799998433446669
MT-ND4,0.009383433041635154
RPL39,0.009379676213584102
S100A10,0.008816585460335386
RPLP1,0.008608338658680985
UBA52,0.008276139116143536
RPL35A,0.007839501081738979
RPLP2,0.0077174601193185565
RPS15A,0.0073907577892709615
H4C3,0.007095031255623041
SERF2,0.007011023434458218
HES1,0.006016722158325233
DSP,0.0060162481196075375
SNRPD2,0.005770405306168301
MT-ND3,0.005608400955267022
TOB1,0.005606377478986857
RPL36,0.00547509668841045
RPL37A,0.00542141740351691
MT-CO3,0.005343317954336364
ELOB,0.005329133216434262
RPS15,0.005285864621036099
KRT8,0.00525195070081011
RPS16,0.004953622103580958
RPL23,0.0048024890551789535
MT-CYB,0.004755912930892427
UQCRQ,0.00473563176365546
ACTB,0.0046686840367378525
TFF3,0.004543155154050502
KRT18,0.004506515020953781
SET,0.004335311501815167
HSPB1,0.004191205535028293
RPS27,0.004182281871333438
COX7A2,0.004156950477919986
TMEM64,0.003826663300091662
FTL,0.003565689825230195
RPS12,0.0034972346724508312
S100A11,0.003286517923276206
RPS28,0.0028874635017390768
MT-ATP6,0.002869039460786445
MT-CO2,0.002833395004900302
FGF23,0.002811770757040673
SOX4,0.002810789193414382
NDUFB2,0.0026754241383610254
ATP5MK,0.0026651720413803587
DSCAM-AS1,0.002463840584120836
PARD6B,0.0024598770257765346
H2AC20,0.0021990711181223387
VMP1,0.002071337773483366
BCAS3,0.0020114086712545135
PKIB,0.0018885368422113039
COX7C,0.00185277139566296
ATP5ME,0.0018517097067192946
TRIM37,0.0018096612100749468
RPL11,0.0018023527740076402
TPD52L1,0.0017459289643598172
CSDE1,0.0016829532712133595
PRRC2C,0.0016820920267273684
NCL,0.0016703374291916443
MT-ND4L,0.0014975415354689945
NEDD8,0.0014828284519653138
RPL37,0.0014796890520068042
PFDN4,0.0014706072396087199
HNRNPU,0.001464684061189163
H1-2,0.0014462678432741296
NCOA3,0.0013545082054101508
H2AC12,0.0013509527800556937
PSMA7,0.0013491113790279703
YWHAB,0.0013441227474543492
CBX3,0.001329111336067792
CALM2,0.0013210845847015148
HSPD1,0.0013200042258934004
RPL28,0.0012981366609074066
YWHAZ,0.0012928009833986906
DNAJA1,0.0012796995911019315
IGFBP5,0.0012761504378004762
HDGF,0.0012654080358214437
MT2A,0.0012499475043897385
TPM4,0.0012452955449268478
TPM3,0.0012311382789187944
RPL29,0.001229370392348081
DEK,0.0011930231685581816
HNRNPA2B1,0.0011859929349557284
RPS6KB1,0.00118519675124651
ATP1A1,0.0011414895930252366
CAPZA1,0.0011313281845756727
MT-CO1,0.001130222226710625
MT-ND2,0.001108885603263274
GOLGA4,0.0010999056936867077
AREG,0.0010843850197684083
MT-ND5,0.0010677902699201384
PAK2,0.0010622517117646196
EIF4G2,0.0010603602230421568
H1-3,0.001045102939165557
CKS2,0.0010444331742762208
PDAP1,0.0009663643451031537
EIF5B,0.0009594706143499629
