,mi_score
TFF1,0.18607994545289142
MT-RNR2,0.14774119135061303
TMSB10,0.139750376709336
LGALS1,0.12892120578659116
KRT19,0.12770332731432799
GAPDH,0.11914205835212743
RPS19,0.11741406781978747
RPS14,0.1169108130182599
RPL13,0.11577023941604869
RPL35,0.10153230885852293
PGK1,0.0986490632888346
MT-RNR1,0.09382283254552548
RPL34,0.08820310564063472
TPI1,0.08705911722447301
RPL15,0.08308876109215357
RPS5,0.07770043459270237
RPL12,0.07603377939512868
RPL35A,0.07016819216531478
S100A10,0.06776308543108578
RPLP1,0.06650624436581287
RPL30,0.06494362232736983
TMEM258,0.061282862380993786
RPL39,0.06108865289794263
RPL36,0.05937590947235161
ROMO1,0.05884304303001442
HES1,0.05811301340308006
ENO1,0.05804718775034745
SNRPD2,0.057788346642610344
MALAT1,0.057543096020557405
UBA52,0.0538953547339005
RPS15A,0.052815279184983854
TFF3,0.05208668917127457
ELOB,0.051793270710406514
MT-ND4,0.05005445769898875
PKM,0.04985706785274635
SERF2,0.04952567435637256
RPS16,0.04863836224957807
RPLP2,0.048458665203733764
UQCRQ,0.04810560492171634
RPS27,0.04713447952660643
RPL37A,0.04609698331598455
RPS12,0.045358680422316944
HSPB1,0.044550251585241396
RPS15,0.044194816453941854
COX7A2,0.043899218904014825
FTL,0.040304697959335334
S100A11,0.04018024220490246
KRT18,0.03782844114795125
COX7C,0.036282869737094714
RPL23,0.035330202457671156
SOX4,0.03451823452895275
MT-ND3,0.03419453668610739
ATP5MK,0.03386633538226125
BCYRN1,0.03249230657494184
MT-CYB,0.0324148279443186
ATP5ME,0.03174425647075019
SET,0.03153223653198367
TOB1,0.03114185326020502
MT-CO3,0.030774941295631963
NDUFB2,0.030684222407862505
KRT8,0.027520617353015364
MT-ATP6,0.026336283049910092
H4C3,0.02588333452301983
RPL29,0.025851470931230525
MT-ND4L,0.024251145258954443
MT2A,0.023926244442598277
MT-CO2,0.023080452111692296
FGF23,0.023030061769855337
RPS28,0.02294437368142499
RPL11,0.02258953544793063
RPL28,0.022281743998955994
RPL37,0.022201596806543655
TMEM64,0.021958251499488712
MT-ND6,0.018976125749916806
PARD6B,0.018877312969518334
ACTB,0.01864357249200599
NCOA3,0.018456076062088878
TRIM37,0.018440511853683006
PKIB,0.017746106082156654
C4orf48,0.01760125384593847
MT-ND5,0.017338667965916432
DSCAM-AS1,0.016604873002935783
CSDE1,0.016451694954609852
DSP,0.016086905683142527
HDGF,0.015615176187771862
NCL,0.015254175820734073
TPD52L1,0.015248672442476296
C9orf78,0.014925291626755044
DNAJA1,0.014814445158229272
HIF1A,0.014307728746816517
TPM4,0.013935468131906381
MGRN1,0.013217491910119783
YWHAB,0.012922376430830385
PRRC2C,0.012799358500575009
EIF4G2,0.012777226745181336
MT-CO1,0.012547415832667275
HNRNPAB,0.012440913264540443
CAV1,0.012152671525449854
PALB2,0.011905152725698587
ATP1A1,0.011883044898779449
CKS2,0.01185683797894943
HSPD1,0.011492798591909104
WNK1,0.0113989288772538
ZNF121,0.011242279322770887
NEDD8,0.011232473588007608
RPS6KB1,0.011096700286602035
GOLGA4,0.011070202760558923
PRRC2A,0.010846042160310265
SETD3,0.010715754289847279
ZMYND11,0.010389640311892379
C7orf50,0.010356242875725119
EIF3A,0.010204161633423858
PFDN4,0.0101736483533863
NSD1,0.009981731334710808
TARS1,0.009707495222855966
MDM2,0.009663667393871478
FAM102A,0.009638358185841911
TMCC1,0.009624685900411878
CERS2,0.009608060746352898
HNRNPU,0.009605952090216308
IGFBP5,0.009569865557882862
CDK2AP1,0.009558606406799841
SNX27,0.009362294247999836
AVEN,0.00912309059912575
CLTB,0.009072676755750964
PLBD2,0.009058713669707119
ENAH,0.009054316057234946
NAA50,0.008949408663529113
MT-ND1,0.00874172192886924
MARK2,0.008704269231056605
DEK,0.00867555691411348
LARP1,0.008643038042871698
MT-ATP8,0.008637513668539043
PRKACA,0.008622620479584064
HSPH1,0.00858131982964272
MT-ND2,0.008553574322364144
POLR2J,0.008472437496022556
ZNF326,0.008466041094466803
NFIC,0.008391984602180269
SYNE2,0.008344049468355097
KIF5B,0.008334216460456068
ZNF609,0.008310264481572904
PTP4A2,0.008299828624832806
LXN,0.008224313768313563
POLR2A,0.008218051327780307
FRS2,0.00821072383427035
CEP83,0.008199176434344535
RRP15,0.008118979685789007
CALM2,0.008060006809925024
NEDD4L,0.007996220307560975
YWHAZ,0.007937337615876672
HIPK2,0.007901637190843802
MYO10,0.007831893797912937
KPNA4,0.007821608236336708
SOGA1,0.007778252257433893
ZNF652,0.007747854096894269
INPP4B,0.007709852850585008
GSPT1,0.007691170263226743
MRPS34,0.007687693736770029
ZNF703,0.007687636377808893
ARF3,0.0076812282824363365
SOCS4,0.007576659967640786
GNL3L,0.007559168824414764
CRNDE,0.007549572757309386
RBM25,0.007494912731023762
GSE1,0.007489589396774132
RAD23B,0.007452002552956971
TPM1,0.007392201445613811
MAVS,0.007371440303328036
XBP1,0.007349799656556799
POLR2I,0.00732701992611795
NEDD1,0.007296251902407347
ANKRD11,0.007276111087740622
BRIP1,0.007251775963970308
AP2S1,0.007241139491554138
IPO4,0.007225441553876388
MT-TS1,0.007224559149561216
TRIP12,0.007184982262041784
STARD7,0.007178383781803577
AREG,0.007097562532227819
MYEF2,0.007064791119385072
DDX54,0.007060226654874269
WSB2,0.00704007762513581
H2AC20,0.007033463627558856
DKC1,0.0070146509672923685
ZC3H7A,0.007010210648713544
KRT10,0.0069658823803187
GARS1,0.006954080526611062
SMARCD2,0.00692010140826671
KMT2D,0.0069009540126681035
S100P,0.006865415742808301
ERBIN,0.006788896978630277
TPM3,0.006787728070705823
KSR2,0.006759853090255286
ARPP19,0.006754850698192039
MIEN1,0.006748572041941792
PTPN11,0.006735627966080182
EFCAB14,0.006706280472737136
NSD2,0.006699411318152437
CAMKK2,0.006587940011184346
COPS9,0.006542146379731495
DYNLL2,0.006518994564219671
CAPZA1,0.006466865176611547
ZNRF1,0.00645420144118769
TF,0.00639723784042423
DVL3,0.006393461000036016
METAP2,0.0063713139110412875
PDS5A,0.006357266324596322
GTF3A,0.006327058112043149
RAD21,0.006305092286409852
PACS1,0.006290155583871027
NIBAN2,0.006280795698582198
BRMS1L,0.006264053087484456
MYH9,0.006222618834396121
UBE2J1,0.006214086248386819
NDUFS6,0.006186352837426412
DDIAS,0.00617434551665208
AFF1,0.006169555288627171
CDC37,0.006122319754799488
PRRG3,0.006113469585816045
ATXN2L,0.006069902006442973
SYTL2,0.006044473573242337
HNRNPA2B1,0.0060224530204537885
KPNA1,0.006007336888300019
CTXN1,0.006003202578098055
AAMP,0.005988438045785083
FAM32A,0.005979547973223642
CEP55,0.005950765227742405
PAK2,0.005898656670507707
GATAD2A,0.0058827421188136775
CBX3,0.005864886645907452
ULK1,0.00585468076043294
ADAT1,0.0058002477064591496
HMBS,0.005781817284958413
BTBD9,0.005720632221930977
JAK1,0.0056900761717051385
RHOBTB3,0.005687703878758166
DNAJC2,0.005682962837533223
PRDM4,0.005676344964894442
HS6ST1,0.005654233255992347
PCCA-DT,0.005650274455529125
TIAM1,0.005623334301128713
MT-TE,0.005611535162727943
GSR,0.005600329554837247
BASP1,0.00559429424298985
AFF4,0.005582365536204836
LINC00205,0.0054854720059771545
CDC42BPB,0.005464028463114223
ZNF146,0.0054339676800858605
BCAS3,0.005422662374982901
RCC1L,0.005407960237395759
MYO9B,0.005396259488803512
HMGA1,0.005393999460475918
OTUD4,0.005380982470839513
PCF11,0.0053509608277653165
BRD7,0.005340951194632515
PSMA7,0.005340703017201243
AP1M1,0.005306027201647856
ANKRD52,0.005287696545156484
SGO1,0.005285146972776156
LEO1,0.005250229184669664
RPS27L,0.005245526361969066
RNF168,0.005238616960516973
DDX19A,0.005236859070950617
HCG18,0.005213018782007861
OPA1,0.005198303507050861
HIF3A,0.005191867381345583
PROSER1,0.00515764386703732
EIF5B,0.005127711836538484
BRD4,0.0051027826194876
STUB1,0.005087136475344645
RPS19BP1,0.005085326346982999
SIAH2,0.005031540593279926
ZDHHC7,0.005002300054309794
