,zero_rate,variance
GAPDH,0.015665796344647518,734493905.0590136
ACTG1,0.020887728459530026,336954474.90984666
KRT8,0.013054830287206266,302635210.1816192
ALDOA,0.015665796344647518,251477237.7964539
KRT18,0.015665796344647518,242210785.04614994
ACTB,0.015665796344647518,236956174.55404449
KRT19,0.02610966057441253,133833104.57068063
CYP1B1,0.0783289817232376,91646864.87449603
MT-RNR2,0.031331592689295036,72251014.35567918
FTH1,0.028720626631853787,46429540.01025249
CYP1A1,0.639686684073107,45385184.95752754
ENO1,0.028720626631853787,39783939.04546637
BEST1,0.028720626631853787,36159421.30652194
MT-CO1,0.03655352480417755,27318666.874482226
PKM,0.033942558746736295,27232071.839828853
UBC,0.033942558746736295,27227163.4860634
PGK1,0.033942558746736295,24539820.6525091
DDIT4,0.09660574412532637,21930682.16849615
GPI,0.031331592689295036,18651512.187593125
CYP1B1-AS1,0.10443864229765012,16187902.367777111
TFF1,0.07049608355091384,13579099.58441895
CTSD,0.033942558746736295,12633957.392478779
LDHA,0.04699738903394256,10926975.114157993
MT-CYB,0.044386422976501305,8528677.7532432
FTL,0.031331592689295036,8507754.73325769
SULF2,0.031331592689295036,8345926.509698858
MT-CO2,0.044386422976501305,8070542.9455661485
H3-3B,0.028720626631853787,6460362.025945624
MT-ND4,0.028720626631853787,5992417.70694298
PFKFB3,0.1279373368146214,5133519.187142016
TPI1,0.03655352480417755,4917233.875507494
GNAS,0.031331592689295036,4772754.403756512
MIF,0.033942558746736295,4559663.980862027
MIF-AS1,0.033942558746736295,4549345.855508315
BHLHE40,0.09660574412532637,4371402.952838564
MT-CO3,0.05221932114882506,3740741.44349514
SQSTM1,0.0391644908616188,3700765.5465257736
HSPB1,0.031331592689295036,3682121.104383965
SLC2A1,0.05483028720626632,3672632.9770617764
HK2,0.2558746736292428,3586350.380859294
COX6C,0.04177545691906005,3409166.5114349388
SLC3A2,0.0391644908616188,3354474.1844900404
TMSB10,0.028720626631853787,3326913.2074145973
XBP1,0.05483028720626632,3102412.2072095466
MYL6,0.033942558746736295,2941819.855576667
NCOA3,0.02610966057441253,2935044.49773762
HSPA5,0.0391644908616188,2884542.80052766
DNAJB1,0.04177545691906005,2781385.2378303
SCD,0.05221932114882506,2563981.208740584
TMBIM6,0.03655352480417755,2474289.014531188
KRT80,0.10966057441253264,2370234.103235684
FOS,0.1279373368146214,2317897.392205379
TMSB4X,0.033942558746736295,2306295.797957706
MT-RNR1,0.05221932114882506,2179832.431164817
BNIP3,0.05221932114882506,2132072.3947890056
DSP,0.04699738903394256,2100765.061282515
TUBA1B,0.06005221932114883,2057164.1556600563
FLNA,0.06266318537859007,2055009.540880073
SLC9A3R1,0.06788511749347259,1995560.452503659
UBB,0.04177545691906005,1930620.4284581626
ATP1A1,0.044386422976501305,1929553.8101103175
PSAP,0.04177545691906005,1801511.9367353357
HSPA8,0.06005221932114883,1777608.3538200755
CLDN4,0.04960835509138381,1692539.1804573967
GDF15,0.3968668407310705,1686371.1299468144
SLC7A5,0.14360313315926893,1625531.1829590036
DDX5,0.044386422976501305,1576086.2626139726
ATP5F1B,0.04177545691906005,1559847.6797123854
GSN,0.10182767624020887,1529320.2517873496
SLC39A6,0.05483028720626632,1519092.3744344043
CDKN1A,0.0835509138381201,1514021.2405916364
CSDE1,0.04177545691906005,1508424.88171367
AARS1,0.06266318537859007,1434471.5388432469
VEGFA,0.1227154046997389,1396476.0575506117
CFL1,0.031331592689295036,1357886.8978852555
MALAT1,0.033942558746736295,1212765.8755074975
IDH2,0.0391644908616188,1207280.2357387939
ANXA2,0.04960835509138381,1186571.907044139
IGFBP3,0.5613577023498695,1144293.1826719358
HSP90AB1,0.04177545691906005,1124819.5938649133
BSG,0.04177545691906005,1122277.3767036202
SPINT2,0.031331592689295036,1082183.7009965421
GATA3,0.0391644908616188,1074849.177258622
KPNA2,0.1618798955613577,1066966.0061925026
CDH1,0.04177545691906005,1047840.4028542913
MYL12B,0.03655352480417755,1036554.1529123889
MT-ND5,0.04699738903394256,1018978.8260768525
TRIB3,0.08093994778067885,1013308.4951813321
ARL6IP1,0.057441253263707574,1001296.2081527757
RPL8,0.033942558746736295,989395.7802550829
BAMBI,0.19321148825065274,985764.1375610025
MT-ATP6,0.044386422976501305,977745.9939031886
SERF2,0.03655352480417755,959782.5316391671
SLC1A5,0.05221932114882506,954893.3755553423
STC2,0.10182767624020887,934677.6773748167
P4HB,0.044386422976501305,918788.1483056069
NME1-NME2,0.0391644908616188,856579.0452339622
PSMA7,0.0391644908616188,822127.318606208
GPRC5A,0.13577023498694518,812368.7410632508
MT2A,0.0783289817232376,797553.1561931845
MYH9,0.04699738903394256,786946.7254111249
NR4A1,0.19843342036553524,754376.6192227241
NDRG1,0.3237597911227154,735782.0221453679
PSMD2,0.05483028720626632,730617.3584405286
S100A11,0.04177545691906005,727749.6811750719
GFRA1,0.14882506527415143,726775.511325578
TUBB4B,0.06527415143603134,707676.2362445833
CCND1,0.04177545691906005,695537.358208139
PFKP,0.04699738903394256,689874.857654505
KRT17,0.8172323759791122,675804.8941806906
UGDH,0.08616187989556136,660425.7006274516
HILPDA,0.0783289817232376,639856.0428417157
CLTC,0.04960835509138381,636260.3363635126
MRNIP,0.04699738903394256,635524.1305483035
PFN1,0.03655352480417755,629681.8612907195
SOX4,0.04177545691906005,621109.4618265824
RPS3,0.04177545691906005,612346.5964211992
DUSP1,0.11488250652741515,612211.6802865223
S100A10,0.044386422976501305,608292.2404002569
RPS2,0.0391644908616188,606393.8401159215
ZFP36L1,0.057441253263707574,598504.3639495303
JUP,0.044386422976501305,596942.833267262
PSMD6,0.04177545691906005,579052.5529233249
GRN,0.057441253263707574,574423.0098013743
MYL12A,0.044386422976501305,565608.8450781238
NFKBIA,0.057441253263707574,559118.4816617236
RACK1,0.03655352480417755,555789.7309748066
ELF3,0.06527415143603134,546713.013765669
HSP90AA1,0.05483028720626632,533332.6011236724
DHCR7,0.08616187989556136,533315.0189055806
PRDX2,0.04177545691906005,533082.4382458681
BCAS1,0.23237597911227154,523218.2209752184
VMP1,0.033942558746736295,520693.14773146686
MLPH,0.05483028720626632,520684.6640055774
RPL13,0.0391644908616188,517608.8376416552
RASD1,0.3968668407310705,510298.10438396217
BCAS3,0.033942558746736295,508052.0794362501
TUBB,0.05483028720626632,500517.91782975337
MCM7,0.09921671018276762,498655.747775211
LLGL2,0.044386422976501305,497742.2256093394
PREX1,0.13054830287206268,485426.924664744
LMNA,0.057441253263707574,482904.02251445607
KRT81,0.6240208877284595,470683.46051426436
EEF1A1,0.044386422976501305,466873.18953426386
UBE2C,0.38903394255874674,460561.9016034897
SLC25A5,0.04177545691906005,450557.6243216274
EFNA1,0.057441253263707574,449099.33905649825
JUNB,0.06005221932114883,440778.67227591417
ACKR3,0.13577023498694518,440710.7042910063
TACSTD2,0.06788511749347259,439405.750372507
RPS19,0.03655352480417755,435498.467048515
PPP2R1A,0.04177545691906005,434616.97075991426
GLUL,0.057441253263707574,422372.4971224695
NME2,0.04177545691906005,420651.8799912512
EIF4G2,0.05221932114882506,420400.21513813466
ATP6AP1,0.0391644908616188,416315.4056976475
PLIN2,0.5587467362924282,410467.2015501793
ACTN1,0.06266318537859007,398370.5750413516
SARS1,0.0391644908616188,393131.0250707422
MT1X,0.08616187989556136,379656.60291443963
PHLDA1,0.1279373368146214,377166.44952360116
AP2M1,0.04177545691906005,376568.30213388405
DYNC2I2,0.09138381201044386,375494.8523642231
CD63,0.04177545691906005,370883.8813172394
PLK2,0.08093994778067885,358861.23374297714
PSMC5,0.04960835509138381,358750.8171093461
PUF60,0.04177545691906005,356003.16260440426
EIF1,0.044386422976501305,353433.38731152477
GSTM3,0.1227154046997389,352810.674996241
