,variance
GAPDH,734493905.0590136
ACTG1,336954474.90984666
KRT8,302635210.1816192
ALDOA,251477237.7964539
KRT18,242210785.04614994
ACTB,236956174.55404449
KRT19,133833104.57068063
CYP1B1,91646864.87449603
MT-RNR2,72251014.35567918
FTH1,46429540.01025249
CYP1A1,45385184.95752754
ENO1,39783939.04546637
BEST1,36159421.30652194
MT-CO1,27318666.874482226
PKM,27232071.839828853
UBC,27227163.4860634
PGK1,24539820.6525091
DDIT4,21930682.16849615
GPI,18651512.187593125
CYP1B1-AS1,16187902.367777111
TFF1,13579099.58441895
CTSD,12633957.392478779
LDHA,10926975.114157993
MT-CYB,8528677.7532432
FTL,8507754.73325769
SULF2,8345926.509698858
MT-CO2,8070542.9455661485
H3-3B,6460362.025945624
MT-ND4,5992417.70694298
PFKFB3,5133519.187142016
TPI1,4917233.875507494
GNAS,4772754.403756512
MIF,4559663.980862027
MIF-AS1,4549345.855508315
BHLHE40,4371402.952838564
MT-CO3,3740741.44349514
SQSTM1,3700765.5465257736
HSPB1,3682121.104383965
SLC2A1,3672632.9770617764
HK2,3586350.380859294
COX6C,3409166.5114349388
SLC3A2,3354474.1844900404
TMSB10,3326913.2074145973
XBP1,3102412.2072095466
MYL6,2941819.855576667
NCOA3,2935044.49773762
HSPA5,2884542.80052766
DNAJB1,2781385.2378303
SCD,2563981.208740584
TMBIM6,2474289.014531188
KRT80,2370234.103235684
FOS,2317897.392205379
TMSB4X,2306295.797957706
MT-RNR1,2179832.431164817
BNIP3,2132072.3947890056
DSP,2100765.061282515
TUBA1B,2057164.1556600563
FLNA,2055009.540880073
SLC9A3R1,1995560.452503659
UBB,1930620.4284581626
ATP1A1,1929553.8101103175
PSAP,1801511.9367353357
HSPA8,1777608.3538200755
CLDN4,1692539.1804573967
GDF15,1686371.1299468144
SLC7A5,1625531.1829590036
DDX5,1576086.2626139726
ATP5F1B,1559847.6797123854
GSN,1529320.2517873496
SLC39A6,1519092.3744344043
CDKN1A,1514021.2405916364
CSDE1,1508424.88171367
AARS1,1434471.5388432469
VEGFA,1396476.0575506117
CFL1,1357886.8978852555
MALAT1,1212765.8755074975
IDH2,1207280.2357387939
ANXA2,1186571.907044139
IGFBP3,1144293.1826719358
HSP90AB1,1124819.5938649133
BSG,1122277.3767036202
SPINT2,1082183.7009965421
GATA3,1074849.177258622
KPNA2,1066966.0061925026
CDH1,1047840.4028542913
MYL12B,1036554.1529123889
MT-ND5,1018978.8260768525
TRIB3,1013308.4951813321
ARL6IP1,1001296.2081527757
RPL8,989395.7802550829
BAMBI,985764.1375610025
MT-ATP6,977745.9939031886
SERF2,959782.5316391671
SLC1A5,954893.3755553423
STC2,934677.6773748167
P4HB,918788.1483056069
NME1-NME2,856579.0452339622
PSMA7,822127.318606208
GPRC5A,812368.7410632508
MT2A,797553.1561931845
MYH9,786946.7254111249
NR4A1,754376.6192227241
NDRG1,735782.0221453679
PSMD2,730617.3584405286
S100A11,727749.6811750719
GFRA1,726775.511325578
TUBB4B,707676.2362445833
CCND1,695537.358208139
PFKP,689874.857654505
KRT17,675804.8941806906
UGDH,660425.7006274516
HILPDA,639856.0428417157
CLTC,636260.3363635126
MRNIP,635524.1305483035
PFN1,629681.8612907195
SOX4,621109.4618265824
RPS3,612346.5964211992
DUSP1,612211.6802865223
S100A10,608292.2404002569
RPS2,606393.8401159215
ZFP36L1,598504.3639495303
JUP,596942.833267262
PSMD6,579052.5529233249
GRN,574423.0098013743
MYL12A,565608.8450781238
NFKBIA,559118.4816617236
RACK1,555789.7309748066
ELF3,546713.013765669
HSP90AA1,533332.6011236724
DHCR7,533315.0189055806
PRDX2,533082.4382458681
BCAS1,523218.2209752184
VMP1,520693.14773146686
MLPH,520684.6640055774
RPL13,517608.8376416552
RASD1,510298.10438396217
BCAS3,508052.0794362501
TUBB,500517.91782975337
MCM7,498655.747775211
LLGL2,497742.2256093394
PREX1,485426.924664744
LMNA,482904.02251445607
KRT81,470683.46051426436
EEF1A1,466873.18953426386
UBE2C,460561.9016034897
SLC25A5,450557.6243216274
EFNA1,449099.33905649825
JUNB,440778.67227591417
ACKR3,440710.7042910063
TACSTD2,439405.750372507
RPS19,435498.467048515
PPP2R1A,434616.97075991426
GLUL,422372.4971224695
NME2,420651.8799912512
EIF4G2,420400.21513813466
ATP6AP1,416315.4056976475
PLIN2,410467.2015501793
ACTN1,398370.5750413516
SARS1,393131.0250707422
MT1X,379656.60291443963
PHLDA1,377166.44952360116
AP2M1,376568.30213388405
DYNC2I2,375494.8523642231
CD63,370883.8813172394
PLK2,358861.23374297714
PSMC5,358750.8171093461
PUF60,356003.16260440426
EIF1,353433.38731152477
GSTM3,352810.674996241
VCP,351456.89899252256
RPS18,344509.85086052516
KDM3A,340961.2977321502
ADM,339404.87464628776
COPE,336610.64962475904
NQO1,330830.2232307629
KDM5B,325480.2873019564
DDIT3,323500.06619003974
TIMP3,323102.96526458225
COTL1,316984.61271581484
CEACAM5,315405.8876737806
TKT,314436.90637431096
H2AZ1,312905.12387735286
EIF3B,309864.8827662568
KLF6,309675.0497723946
STARD10,309177.84922012786
RPLP0,306601.6855357947
TPM4,306125.1810315364
POLR2A,305354.0151873475
NME1,302012.96418465424
PFKL,301739.3635257612
AREG,299843.8945497787
PABPC1,298154.0338468691
PPP1CA,297330.7420748294
CRIP2,294532.5650212572
PSMB5,294205.6263994645
WDR1,291933.9578554537
NELFCD,288171.59292168485
AHNAK,286007.14183970564
TNFRSF12A,283026.4370292405
HSPA6,282281.1173431043
PPM1D,281022.7185624648
FXYD3,280966.891405684
MYBL2,279769.1413202457
ERRFI1,279657.333041707
PHB,279146.8832583762
RAN,277637.59504053136
SLC25A39,275184.3872705152
RPS14,274531.6909080967
CTNNA1,274103.3398903667
EWSR1,273774.3609421348
KLF10,271577.8481538694
PLK1,271155.18689595873
ID3,270063.2420816648
PSMD4,267430.1582983609
CYC1,264364.7729963228
TRIM16,264023.3520703181
HSPA1A,259664.4018700532
LMAN2,259632.09496534654
EIF4A1,257287.9467827702
